x_coord,y_coord,Bent,Exotic,FR I,FR II,Point Source,S/Z shaped,Should be discarded,X-Shaped,typical,confidence,max_prob,num_labels
1.091,-24.631,0,0,0,1,0,0,0,0,0,0.5796081,0.5796081,1
1.1,-24.445,0,0,0,1,0,0,0,0,0,0.5767035,0.5767035,1
1.101,-24.996,0,0,0,1,0,0,0,0,0,0.581313,0.581313,1
1.109,-24.936,0,0,0,0,0,0,0,0,0,0.4100058,0.4100058,0
1.118,-24.696,0,0,0,1,0,0,0,0,0,0.58450955,0.58450955,1
1.129,-24.866,0,0,0,0,1,0,0,0,0,0.5225331,0.5225331,1
1.13,-25.121,0,0,0,0,1,0,0,0,0,0.56306773,0.56306773,1
1.144,-24.526,0,0,0,1,0,0,0,0,0,0.5803803,0.5803803,1
1.158,-24.189,0,0,0,0,1,0,0,0,0,0.51402074,0.51402074,1
1.159,-66.941,0,0,1,0,0,0,0,0,0,0.52365893,0.52365893,1
1.161,-23.746,0,0,0,0,0,0,0,0,0,0.49566385,0.49566385,0
1.166,-24.878,0,0,0,0,0,0,0,0,0,0.40650174,0.40650174,0
1.213,-24.959,0,0,1,0,0,0,0,0,0,0.5150612,0.5150612,1
1.22,-24.566,0,0,0,0,0,0,0,0,0,0.48536995,0.48536995,0
1.227,-24.34,0,0,0,1,0,0,0,0,0,0.60600543,0.60600543,1
1.228,-24.668,0,0,0,1,0,0,0,0,0,0.5313081,0.5313081,1
1.236,-24.883,0,0,0,0,0,0,0,0,0,0.4699897,0.4699897,0
1.24,-24.761,0,0,0,0,0,0,0,0,0,0.45499223,0.45499223,0
1.244,-24.585,0,0,0,1,0,0,0,0,0,0.5076409,0.5076409,1
1.244,-25.565,0,0,0,0,0,0,0,0,0,0.43504304,0.43504304,0
1.245,-24.416,0,0,0,0,0,0,0,0,0,0.46395567,0.46395567,0
1.253,-24.665,0,0,0,1,0,0,0,0,0,0.5337188,0.5337188,1
1.256,-24.689,0,0,0,1,0,0,0,0,0,0.6446142,0.6446142,1
1.265,-25.605,0,0,0,1,0,0,0,0,0,0.541713,0.541713,1
1.269,-65.782,0,0,1,0,0,0,0,0,0,0.50086135,0.50086135,1
1.272,-24.73,0,0,0,1,0,0,0,0,0,0.50811166,0.50811166,1
1.279,-24.22,0,0,1,0,0,0,0,0,0,0.52235454,0.52235454,1
1.287,-24.477,0,0,0,0,0,0,0,0,0,0.49385145,0.49385145,0
1.315,-85.031,0,0,0,0,0,0,0,0,0,0.4894767,0.4894767,0
1.341,-24.436,0,0,0,0,0,0,0,0,0,0.4776129,0.4776129,0
1.342,-24.523,0,0,0,0,1,0,0,0,0,0.5009977,0.5009977,1
1.346,-24.176,0,0,0,0,0,0,0,0,0,0.43041316,0.43041316,0
1.351,-24.564,0,0,0,0,0,0,0,0,0,0.4420358,0.4420358,0
1.359,-24.177,0,0,0,1,0,0,0,0,0,0.54689574,0.54689574,1
1.359,-24.703,0,0,0,0,0,0,0,0,0,0.4489129,0.4489129,0
1.37,-66.644,0,0,0,1,0,0,0,0,0,0.51896876,0.51896876,1
1.382,-24.037,0,0,0,0,0,0,0,0,0,0.46193406,0.46193406,0
1.405,-24.369,0,0,0,0,0,0,0,0,0,0.43285513,0.43285513,0
1.418,-24.622,0,0,0,0,1,0,0,0,0,0.65201676,0.65201676,1
1.423,-25.648,0,0,0,0,0,0,0,0,0,0.44447148,0.44447148,0
1.43,-65.237,0,0,0,0,0,0,0,0,0,0.4990251,0.4990251,0
1.434,-25.128,0,0,0,1,0,0,0,0,0,0.64770764,0.64770764,1
1.454,-25.024,0,0,0,1,0,0,0,0,0,0.5431888,0.5431888,1
1.455,-25.149,0,0,0,0,0,0,0,0,0,0.45290786,0.45290786,0
1.456,-25.059,0,0,0,1,0,0,0,0,0,0.6467136,0.6467136,1
1.477,-65.241,0,0,0,0,0,0,0,0,0,0.4563161,0.4563161,0
1.48,-85.604,0,0,0,0,1,0,0,0,0,0.57885885,0.57885885,1
1.483,-66.638,0,0,0,1,0,0,0,0,0,0.549461,0.549461,1
1.487,-24.821,0,0,0,0,0,0,0,0,0,0.41278785,0.41278785,0
1.488,-24.458,0,0,0,0,0,0,0,0,0,0.4718014,0.4718014,0
1.499,-24.199,0,0,0,0,0,0,0,0,0,0.42790183,0.42790183,0
1.499,-24.777,0,0,0,1,0,0,0,0,0,0.55253696,0.55253696,1
1.515,-25.121,0,0,0,1,0,0,0,0,0,0.5386861,0.5386861,1
1.516,-66.097,0,0,0,1,0,0,0,0,0,0.63411576,0.63411576,1
1.547,-25.028,0,0,0,1,0,0,0,0,0,0.59308845,0.59308845,1
1.558,-24.225,0,0,0,0,0,0,0,0,0,0.46488458,0.46488458,0
1.565,-25.033,0,0,0,1,0,0,0,0,0,0.5141974,0.5141974,1
1.582,-24.623,0,0,0,1,0,0,0,0,0,0.68350863,0.68350863,1
1.582,-25.092,0,0,0,0,0,0,0,0,0,0.45264626,0.45264626,0
1.588,-24.254,0,0,0,0,0,0,0,0,0,0.49033132,0.49033132,0
1.598,-24.318,0,0,0,1,0,0,0,0,0,0.7120303,0.7120303,1
1.601,-24.638,0,0,0,1,0,0,0,0,0,0.66706383,0.66706383,1
1.603,-23.633,0,0,1,0,0,0,0,0,0,0.5449604,0.5449604,1
1.606,-24.897,0,0,0,1,0,0,0,0,0,0.58807546,0.58807546,1
1.616,-25.142,0,0,0,0,1,0,0,0,0,0.6726319,0.6726319,1
1.618,-23.961,0,0,1,0,0,0,0,0,0,0.5003524,0.5003524,1
1.632,-84.839,0,0,0,1,0,0,0,0,0,0.5723995,0.5723995,1
1.635,-25.363,0,0,0,0,0,0,0,0,0,0.4662141,0.4662141,0
1.636,-66.133,0,0,0,0,0,0,0,0,0,0.48620108,0.48620108,0
1.641,-66.667,0,0,1,0,0,0,0,0,0,0.53745604,0.53745604,1
1.653,-25.118,0,0,0,0,1,0,0,0,0,0.5657499,0.5657499,1
1.661,-85.035,0,0,0,0,0,0,0,0,0,0.45475757,0.45475757,0
1.662,-25.216,0,0,0,0,0,0,0,0,0,0.44995514,0.44995514,0
1.681,-25.08,0,0,0,0,0,0,0,0,0,0.4824284,0.4824284,0
1.709,-24.527,0,0,0,1,0,0,0,0,0,0.5703893,0.5703893,1
1.718,-25.116,0,0,0,0,0,0,0,0,0,0.43926406,0.43926406,0
1.719,-25.171,0,0,0,1,0,0,0,0,0,0.59118193,0.59118193,1
1.729,-24.16,0,0,0,1,0,0,0,0,0,0.62625605,0.62625605,1
1.754,-66.308,0,0,0,0,0,0,0,0,0,0.41702095,0.41702095,0
1.759,-24.728,0,0,0,0,0,0,0,0,0,0.4816761,0.4816761,0
1.775,-65.945,0,0,0,0,0,0,0,0,0,0.42454883,0.42454883,0
1.785,-23.744,0,0,0,1,0,0,0,0,0,0.50843227,0.50843227,1
1.789,-24.372,0,0,0,1,0,0,0,0,0,0.504073,0.504073,1
1.789,-85.847,0,0,0,0,0,0,0,0,0,0.46261537,0.46261537,0
1.791,-65.965,0,0,0,1,0,0,0,0,1,0.57013774,0.57013774,2
1.791,-66.379,0,0,0,0,0,0,0,0,0,0.4463149,0.4463149,0
1.795,-25.216,0,0,0,0,0,0,0,0,0,0.49003676,0.49003676,0
1.826,-25.26,0,0,0,0,0,0,0,0,0,0.48088604,0.48088604,0
1.832,-24.78,0,0,0,1,0,0,0,0,0,0.56482136,0.56482136,1
1.837,-24.804,0,0,0,1,0,0,0,0,0,0.5412903,0.5412903,1
1.845,-24.848,0,0,0,0,0,0,0,0,0,0.4044863,0.4044863,0
1.849,-24.317,0,0,0,1,0,0,0,0,0,0.5073545,0.5073545,1
1.854,-66.647,0,0,0,1,0,0,0,0,0,0.5245017,0.5245017,1
1.867,-24.864,0,0,0,1,0,0,0,0,0,0.53621894,0.53621894,1
1.887,-24.777,0,0,0,1,0,0,0,0,0,0.61284393,0.61284393,1
1.915,-25.148,0,0,0,0,0,0,0,0,0,0.47344443,0.47344443,0
1.932,-66.932,0,0,0,1,0,0,0,0,0,0.6885163,0.6885163,1
1.934,-66.555,0,0,0,1,0,0,0,0,0,0.62923217,0.62923217,1
1.938,-66.289,0,0,0,0,1,0,0,0,0,0.5422815,0.5422815,1
1.939,-24.865,0,0,0,1,0,0,0,0,0,0.51155543,0.51155543,1
1.944,-65.163,0,0,0,0,1,0,0,0,0,0.64037836,0.64037836,1
1.946,-24.669,0,0,0,0,0,0,0,0,0,0.40088436,0.40088436,0
1.948,-25.364,0,0,0,0,0,0,0,0,0,0.41575348,0.41575348,0
1.983,-66.519,0,0,0,1,0,0,0,0,0,0.6426864,0.6426864,1
10.009,-9.18,0,0,0,0,0,0,0,0,0,0.49643067,0.49643067,0
10.016,-21.463,0,0,0,0,0,0,0,0,0,0.41482678,0.41482678,0
10.028,-9.522,0,0,0,1,0,0,0,0,0,0.51009053,0.51009053,1
10.036,-9.286,0,0,0,0,0,0,0,0,0,0.41321677,0.41321677,0
10.036,-9.715,0,0,0,1,0,0,0,0,0,0.598949,0.598949,1
10.042,-9.189,0,0,0,0,0,0,0,0,0,0.4578226,0.4578226,0
10.051,-20.19,0,0,0,0,0,0,0,0,0,0.43657404,0.43657404,0
10.08,-21.53,0,0,1,0,0,0,0,0,0,0.5263057,0.5263057,1
10.084,-9.952,0,0,0,1,0,0,0,0,0,0.5873129,0.5873129,1
10.102,-9.258,0,0,0,0,0,0,0,0,0,0.41801703,0.41801703,0
10.111,-21.018,0,0,1,0,0,0,0,0,0,0.50222445,0.50222445,1
10.116,-9.988,0,0,0,0,0,0,0,0,0,0.4261766,0.4261766,0
10.122,-20.112,0,0,0,0,0,1,0,0,0,0.5390703,0.5390703,1
10.124,-20.157,0,0,1,0,0,0,0,0,0,0.5021401,0.5021401,1
10.125,-20.787,0,0,0,0,0,0,0,0,0,0.3827301,0.3827301,0
10.127,-20.753,0,0,0,0,0,0,0,0,0,0.48632193,0.48632193,0
10.127,-9.68,0,0,0,0,0,0,0,0,0,0.43160325,0.43160325,0
10.128,-10.022,0,0,0,0,0,0,0,0,0,0.4378849,0.4378849,0
10.128,-9.67,0,0,0,0,1,0,0,0,0,0.5199264,0.5199264,1
10.139,-19.941,0,0,0,1,0,0,0,0,0,0.5232952,0.5232952,1
10.15,-8.838,0,0,0,0,0,0,0,0,0,0.41893873,0.41893873,0
10.164,-9.474,0,0,0,0,0,0,0,0,0,0.4550102,0.4550102,0
10.176,-8.948,0,0,0,0,0,0,0,0,0,0.49598697,0.49598697,0
10.192,-20.711,0,0,0,0,0,0,0,0,0,0.39192504,0.39192504,0
10.192,-9.693,0,0,0,1,0,0,0,0,0,0.50450975,0.50450975,1
10.193,-8.716,0,0,0,1,0,0,0,0,0,0.57131076,0.57131076,1
10.194,-9.233,0,0,0,1,0,0,0,0,0,0.6172026,0.6172026,1
10.197,-9.211,0,0,0,0,0,0,0,0,0,0.48452577,0.48452577,0
10.201,-20.728,0,0,0,0,0,0,0,0,0,0.49545184,0.49545184,0
10.204,-9.81,0,0,0,1,0,0,0,0,0,0.63574755,0.63574755,1
10.211,-20.753,0,0,0,0,0,0,0,0,0,0.43158108,0.43158108,0
10.216,-8.905,0,0,0,1,0,0,0,0,0,0.5379054,0.5379054,1
10.227,-20.542,0,0,1,0,0,0,0,0,0,0.55890447,0.55890447,1
10.227,-9.02,0,0,0,1,0,0,0,0,0,0.5175094,0.5175094,1
10.236,-20.709,0,0,0,0,0,0,0,0,0,0.44814494,0.44814494,0
10.237,-9.237,0,0,0,1,0,0,0,0,0,0.683659,0.683659,1
10.241,-9.087,0,0,0,0,0,0,0,0,0,0.49790683,0.49790683,0
10.246,-9.621,0,0,0,1,0,0,0,0,0,0.52578044,0.52578044,1
10.248,-9.734,0,0,0,0,0,0,0,0,0,0.47229397,0.47229397,0
10.248,-9.989,0,0,0,1,0,0,0,0,0,0.50980955,0.50980955,1
10.259,-9.209,0,0,0,0,0,0,0,0,0,0.45426273,0.45426273,0
10.26,-20.29,0,0,0,1,0,0,0,0,0,0.5722507,0.5722507,1
10.267,-9.054,0,0,0,0,0,0,0,0,0,0.40464878,0.40464878,0
10.274,-9.408,0,0,0,0,0,0,0,0,0,0.4668571,0.4668571,0
10.277,-9.296,0,0,0,1,0,0,0,0,0,0.61621076,0.61621076,1
10.29,-20.593,0,0,0,0,0,0,0,0,0,0.429227,0.429227,0
10.303,-21.523,0,0,0,0,0,0,0,0,0,0.4601693,0.4601693,0
10.305,-21.085,0,0,0,0,0,0,0,0,0,0.4943109,0.4943109,0
10.317,-20.518,0,0,0,0,0,0,0,0,0,0.4358674,0.4358674,0
10.332,-20.556,0,0,0,0,0,0,0,0,0,0.41079023,0.41079023,0
10.332,-9.391,0,0,0,1,0,0,0,0,0,0.5716187,0.5716187,1
10.339,-9.055,0,0,0,0,0,0,0,0,0,0.49059802,0.49059802,0
10.35,-20.97,0,0,0,0,1,0,0,0,0,0.5625134,0.5625134,1
10.365,-9.704,0,0,0,1,0,0,0,0,0,0.5636781,0.5636781,1
10.367,-8.844,0,0,0,1,0,0,0,0,0,0.5979396,0.5979396,1
10.371,-9.375,0,1,0,0,0,0,0,0,0,0.50405866,0.50405866,1
10.373,-20.211,0,0,0,0,0,0,0,0,0,0.41198254,0.41198254,0
10.377,-9.263,0,0,0,0,0,0,0,0,0,0.42569232,0.42569232,0
10.387,-9.466,0,0,0,0,0,0,0,0,0,0.46240044,0.46240044,0
10.39,-20.332,0,0,0,0,0,0,0,0,0,0.4645976,0.4645976,0
10.392,-9.92,0,0,0,1,0,0,0,0,0,0.5847849,0.5847849,1
10.393,-8.268,0,0,0,0,0,0,0,0,0,0.4911309,0.4911309,0
10.398,-9.655,0,0,0,0,0,0,0,0,0,0.40598047,0.40598047,0
10.406,-9.361,0,0,0,1,0,0,0,0,0,0.50922877,0.50922877,1
10.419,-9.375,0,0,0,0,0,0,0,0,0,0.40541175,0.40541175,0
10.43,-9.117,0,0,1,0,0,0,0,0,0,0.5369004,0.5369004,1
10.431,-9.659,0,0,0,0,0,0,0,0,0,0.4621489,0.4621489,0
10.437,-9.444,0,0,0,0,0,0,0,0,0,0.38873577,0.38873577,0
10.438,-9.464,0,0,0,0,0,0,0,0,0,0.46806931,0.46806931,0
10.44,-20.459,0,0,0,0,0,0,0,0,0,0.48083627,0.48083627,0
10.449,-9.117,0,0,1,0,0,0,0,0,0,0.5572046,0.5572046,1
10.45,-9.278,0,0,0,0,0,0,0,0,0,0.42670494,0.42670494,0
10.451,-9.346,0,0,0,0,0,0,0,0,0,0.48811007,0.48811007,0
10.452,-8.77,0,0,0,1,0,0,0,0,0,0.57605034,0.57605034,1
10.455,-9.605,0,0,1,0,0,0,0,0,0,0.5116256,0.5116256,1
10.46,-9.304,0,0,0,1,0,0,0,0,0,0.5728965,0.5728965,1
10.461,-20.082,0,0,0,0,0,0,0,0,0,0.406724,0.406724,0
10.462,-20.697,0,0,0,1,0,0,0,0,0,0.6315464,0.6315464,1
10.462,-8.85,0,0,0,1,0,0,0,0,0,0.5015861,0.5015861,1
10.462,-9.167,0,0,0,1,0,0,0,0,0,0.55029243,0.55029243,1
10.465,-19.953,0,0,0,0,0,0,0,0,0,0.46461418,0.46461418,0
10.467,-9.43,0,0,0,0,0,0,0,0,0,0.4801722,0.4801722,0
10.468,-9.262,0,0,0,0,0,0,0,0,0,0.49625164,0.49625164,0
10.473,-9.492,0,0,0,1,0,0,0,0,0,0.524126,0.524126,1
10.475,-9.5,0,0,0,0,0,0,0,0,0,0.48130968,0.48130968,0
10.479,-20.741,0,0,0,0,0,0,0,0,0,0.46942922,0.46942922,0
10.49,-19.843,0,0,0,1,0,0,0,0,0,0.60066,0.60066,1
10.493,-9.282,0,0,0,0,0,0,0,0,0,0.4910083,0.4910083,0
10.498,-9.641,0,0,0,1,0,0,0,0,0,0.51475203,0.51475203,1
10.499,-20.829,0,0,0,1,0,0,0,0,0,0.554996,0.554996,1
10.507,-9.296,0,0,0,1,0,0,0,0,0,0.52540183,0.52540183,1
10.513,-8.626,0,0,0,0,0,0,0,0,0,0.46059856,0.46059856,0
10.523,-9.475,0,0,0,1,0,0,0,0,0,0.5826249,0.5826249,1
10.525,-9.561,0,0,0,1,0,0,0,0,0,0.6847136,0.6847136,1
10.528,-20.38,0,0,1,0,0,0,0,0,0,0.5230188,0.5230188,1
10.53,-9.607,0,0,0,0,0,0,0,0,0,0.40071929,0.40071929,0
10.534,-20.978,0,0,0,1,0,0,0,0,0,0.57339877,0.57339877,1
10.535,-8.827,0,0,0,0,0,0,0,0,0,0.48622093,0.48622093,0
10.536,-19.879,0,0,0,0,1,0,0,0,0,0.5812046,0.5812046,1
10.538,-8.851,0,0,0,0,0,0,0,0,0,0.44178233,0.44178233,0
10.538,-9.161,0,0,0,0,0,0,0,0,0,0.47516894,0.47516894,0
10.538,-9.673,0,0,0,0,0,0,0,0,0,0.4657746,0.4657746,0
10.539,-19.704,0,0,0,0,0,0,0,0,0,0.42021713,0.42021713,0
10.54,-21.596,0,0,1,0,0,0,0,0,0,0.53142416,0.53142416,1
10.545,-10.091,0,0,0,0,0,0,0,0,0,0.45538634,0.45538634,0
10.548,-21.35,0,0,1,0,0,0,0,0,0,0.52510375,0.52510375,1
10.56,-9.546,0,0,0,0,0,0,0,0,0,0.4475969,0.4475969,0
10.562,-9.46,0,0,0,0,0,0,0,0,0,0.4615664,0.4615664,0
10.574,-19.765,0,0,1,0,0,0,0,0,0,0.51480454,0.51480454,1
10.576,-10.066,0,0,0,0,1,0,0,0,0,0.54228103,0.54228103,1
10.584,-9.59,0,0,0,0,0,0,0,0,0,0.41236544,0.41236544,0
10.591,-20.619,0,0,0,1,0,0,0,0,0,0.55643797,0.55643797,1
10.592,-20.809,0,0,0,0,0,0,0,0,0,0.41702852,0.41702852,0
10.592,-9.488,0,0,0,1,0,0,0,0,0,0.5564037,0.5564037,1
10.598,-8.725,0,0,0,1,0,0,0,0,0,0.50113696,0.50113696,1
10.607,-8.964,0,0,0,0,0,0,0,0,0,0.4239382,0.4239382,0
10.608,-8.475,0,0,0,1,0,0,0,0,0,0.5406473,0.5406473,1
10.615,-9.816,0,0,0,0,0,0,0,0,0,0.3957664,0.3957664,0
10.62,-20.598,0,0,0,1,0,0,0,0,0,0.51563555,0.51563555,1
10.624,-9.945,0,0,0,0,1,0,0,0,0,0.6118168,0.6118168,1
10.626,-9.359,0,0,0,0,0,0,0,0,0,0.44715336,0.44715336,0
10.628,-20.194,0,0,0,1,0,0,0,0,0,0.65784955,0.65784955,1
10.628,-20.79,0,0,0,1,0,0,0,0,0,0.60232675,0.60232675,1
10.631,-20.583,0,0,0,0,0,0,0,0,0,0.48171544,0.48171544,0
10.631,-20.673,0,0,0,1,0,0,0,0,0,0.59406865,0.59406865,1
10.634,-8.263,0,0,0,1,0,0,0,0,0,0.64764845,0.64764845,1
10.634,-8.339,0,0,0,1,0,0,0,0,0,0.5942153,0.5942153,1
10.636,-20.748,0,0,0,0,0,0,0,0,0,0.44216082,0.44216082,0
10.638,-21.112,0,0,0,1,0,0,0,0,0,0.57119143,0.57119143,1
10.641,-9.908,0,0,0,0,0,0,0,0,0,0.44236392,0.44236392,0
10.642,-8.726,0,0,0,0,0,0,0,0,0,0.47119322,0.47119322,0
10.642,-9.722,0,0,0,1,0,0,0,0,0,0.63418543,0.63418543,1
10.65,-9.853,0,0,0,0,0,0,0,0,0,0.41204062,0.41204062,0
10.655,-9.92,0,0,0,0,0,0,0,0,0,0.45384982,0.45384982,0
10.656,-20.639,0,0,0,0,0,0,0,0,0,0.44649643,0.44649643,0
10.66,-20.78,0,0,0,0,0,0,0,0,0,0.49142978,0.49142978,0
10.66,-9.832,0,0,0,1,0,0,0,0,0,0.5856813,0.5856813,1
10.661,-8.932,0,0,0,1,0,0,0,0,0,0.6841371,0.6841371,1
10.67,-9.515,0,0,0,0,0,0,0,0,0,0.42372596,0.42372596,0
10.671,-20.016,0,0,0,0,0,0,0,0,0,0.46354505,0.46354505,0
10.671,-20.795,0,0,0,0,0,0,0,0,0,0.47248393,0.47248393,0
10.674,-21.233,0,1,0,0,0,0,0,0,0,0.51288795,0.51288795,1
10.677,-20.378,0,0,1,0,0,0,0,0,0,0.56435,0.56435,1
10.677,-20.578,0,0,0,0,0,0,0,0,0,0.4694703,0.4694703,0
10.682,-21.011,0,0,0,1,0,0,0,0,0,0.51233715,0.51233715,1
10.685,-10.055,0,0,0,0,0,0,0,0,0,0.41526115,0.41526115,0
10.691,-9.431,0,0,0,1,0,0,0,0,0,0.53217643,0.53217643,1
10.693,-10.051,0,0,0,0,0,0,0,0,0,0.46331844,0.46331844,0
10.708,-20.286,0,0,0,1,0,0,0,0,0,0.5880254,0.5880254,1
10.719,-9.552,0,0,0,0,0,0,0,0,0,0.451608,0.451608,0
10.72,-9.607,0,0,0,0,0,0,0,0,0,0.41702795,0.41702795,0
10.729,-9.956,0,0,0,0,0,0,0,0,0,0.41227517,0.41227517,0
10.741,-20.904,0,0,0,0,0,0,0,0,0,0.49977311,0.49977311,0
10.744,-20.58,0,0,0,0,0,0,0,0,0,0.4995147,0.4995147,0
10.745,-9.23,0,0,0,0,0,0,0,0,0,0.41253164,0.41253164,0
10.748,-9.529,0,0,0,0,0,0,0,0,0,0.473115,0.473115,0
10.755,-9.447,0,0,0,1,0,0,0,0,0,0.562213,0.562213,1
10.761,-20.747,0,0,0,0,0,0,0,0,0,0.4909309,0.4909309,0
10.761,-9.364,0,0,1,0,0,0,0,0,0,0.5218346,0.5218346,1
10.763,-20.621,0,0,0,0,0,0,0,0,0,0.45757765,0.45757765,0
10.779,-20.254,0,0,0,0,0,0,0,0,0,0.42048085,0.42048085,0
10.787,-20.612,0,0,0,1,0,0,0,0,0,0.54239565,0.54239565,1
10.798,-20.533,0,1,0,0,0,0,0,0,0,0.6215149,0.6215149,1
10.808,-20.572,0,0,0,0,0,0,0,0,0,0.4912769,0.4912769,0
10.814,-20.547,0,0,0,0,0,0,0,0,0,0.42120624,0.42120624,0
10.818,-8.952,0,0,0,0,0,0,0,0,1,0.5195749,0.5195749,1
10.833,-20.668,0,0,0,0,0,0,0,0,0,0.4001591,0.4001591,0
10.838,-9.297,0,0,0,0,0,0,0,0,0,0.47478157,0.47478157,0
10.84,-9.593,0,0,0,1,0,0,0,0,0,0.5490184,0.5490184,1
10.848,-20.32,0,0,0,0,0,0,0,0,0,0.48534355,0.48534355,0
10.853,-20.628,0,0,0,1,0,0,0,0,0,0.5832627,0.5832627,1
10.86,-10.332,0,0,1,0,0,0,0,0,0,0.5048586,0.5048586,1
10.86,-20.596,0,0,0,1,0,0,0,0,0,0.62752926,0.62752926,1
10.867,-8.964,0,0,0,0,0,0,0,0,0,0.42703378,0.42703378,0
10.872,-10.177,0,0,0,0,1,0,0,0,0,0.5473897,0.5473897,1
10.872,-20.326,0,0,0,0,0,0,0,0,0,0.38408822,0.38408822,0
10.877,-8.954,0,0,0,0,1,0,0,0,0,0.68550265,0.68550265,1
10.88,-20.283,0,0,0,0,1,0,0,0,0,0.6056314,0.6056314,1
10.882,-10.162,0,0,1,0,0,0,0,0,0,0.58880574,0.58880574,1
10.883,-20.6,0,0,0,0,1,0,0,0,0,0.53862303,0.53862303,1
10.887,-21.045,0,0,0,0,0,0,0,0,0,0.48276263,0.48276263,0
10.896,-8.61,0,0,0,0,0,0,0,0,0,0.4417085,0.4417085,0
10.902,-19.619,0,0,0,1,0,0,0,0,0,0.67168003,0.67168003,1
10.902,-20.701,0,1,0,0,0,0,0,0,0,0.52381194,0.52381194,1
10.907,-9.151,0,0,0,0,0,0,0,0,0,0.4624402,0.4624402,0
10.916,-21.21,0,0,0,0,0,0,0,0,0,0.4775848,0.4775848,0
10.918,-10.218,0,0,0,0,0,0,0,0,0,0.4867403,0.4867403,0
10.925,-10.358,0,0,1,0,0,0,0,0,0,0.57014257,0.57014257,1
10.941,-20.499,0,0,0,0,1,0,0,0,0,0.5668442,0.5668442,1
10.954,-20.33,0,0,0,0,0,0,0,0,0,0.43820238,0.43820238,0
10.957,-21.312,0,0,0,0,0,0,0,0,0,0.46232623,0.46232623,0
10.971,-20.458,0,0,0,1,0,0,0,0,0,0.5201019,0.5201019,1
10.971,-9.244,0,0,0,1,0,0,0,0,0,0.64018255,0.64018255,1
10.972,-19.59,0,0,0,1,0,0,0,0,0,0.63455635,0.63455635,1
10.98,-20.279,0,0,0,0,0,0,0,0,0,0.472008,0.472008,0
10.981,-20.416,0,0,0,1,0,0,0,0,0,0.63064295,0.63064295,1
10.982,-9.252,0,0,0,0,0,0,0,0,0,0.44068488,0.44068488,0
10.988,-20.617,0,0,0,1,0,0,0,0,0,0.5224352,0.5224352,1
10.993,-9.372,0,0,0,0,0,0,0,0,0,0.45014805,0.45014805,0
100.001,-54.222,0,0,0,0,0,0,0,0,0,0.4850557,0.4850557,0
100.013,-54.305,0,0,0,0,0,0,0,0,0,0.46533096,0.46533096,0
100.023,-54.1,0,0,0,1,0,0,0,0,0,0.640331,0.640331,1
100.031,-47.924,0,0,0,1,0,0,0,0,0,0.63987845,0.63987845,1
100.041,-54.872,0,0,0,0,0,0,0,0,0,0.4743106,0.4743106,0
100.049,-48.515,0,0,0,0,0,0,0,0,0,0.49676257,0.49676257,0
100.051,-48.324,0,0,0,0,0,0,0,0,0,0.39608842,0.39608842,0
