x_coord,y_coord,Bent,Exotic,FR I,FR II,Point Source,S/Z shaped,Should be discarded,X-Shaped,typical
1.244,-25.565,0,0,0,0,0,0,0,0,0
1.245,-24.416,0,0,0,0,0,0,0,0,0
1.253,-24.665,0,0,0,1,0,0,0,0,0
1.256,-24.689,0,0,0,1,0,0,0,0,0
1.265,-25.605,0,0,0,1,0,0,0,0,0
1.269,-65.782,0,0,1,0,0,0,0,0,0
1.272,-24.73,0,0,0,1,0,0,0,0,0
1.279,-24.22,0,0,1,0,0,0,0,0,0
1.287,-24.477,0,0,0,0,0,0,0,0,0
1.315,-85.031,0,0,0,0,0,0,0,0,0
1.341,-24.436,0,0,0,0,0,0,0,0,0
1.342,-24.523,0,0,0,0,1,0,0,0,0
1.346,-24.176,0,0,0,0,0,0,0,0,0
1.351,-24.564,0,0,0,0,0,0,0,0,0
1.359,-24.177,0,0,0,1,0,0,0,0,0
1.359,-24.703,0,0,0,0,0,0,0,0,0
1.37,-66.644,0,0,0,1,0,0,0,0,0
1.382,-24.037,0,0,0,0,0,0,0,0,0
1.405,-24.369,0,0,0,0,0,0,0,0,0
1.418,-24.622,0,0,0,0,1,0,0,0,0
1.423,-25.648,0,0,0,0,0,0,0,0,0
1.43,-65.237,0,0,0,0,0,0,0,0,0
1.434,-25.128,0,0,0,1,0,0,0,0,0
1.454,-25.024,0,0,0,1,0,0,0,0,0
1.455,-25.149,0,0,0,0,0,0,0,0,0
1.456,-25.059,0,0,0,1,0,0,0,0,0
1.477,-65.241,0,0,0,0,0,0,0,0,0
1.48,-85.604,0,0,0,0,1,0,0,0,0
1.483,-66.638,0,0,0,1,0,0,0,0,0
1.487,-24.821,0,0,0,0,0,0,0,0,0
1.488,-24.458,0,0,0,0,0,0,0,0,0
1.499,-24.199,0,0,0,0,0,0,0,0,0
1.499,-24.777,0,0,0,1,0,0,0,0,0
1.515,-25.121,0,0,0,1,0,0,0,0,0
1.516,-66.097,0,0,0,1,0,0,0,0,0
1.547,-25.028,0,0,0,1,0,0,0,0,0
1.558,-24.225,0,0,0,0,0,0,0,0,0
1.565,-25.033,0,0,0,1,0,0,0,0,0
1.582,-24.623,0,0,0,1,0,0,0,0,0
1.582,-25.092,0,0,0,0,0,0,0,0,0
1.588,-24.254,0,0,0,0,0,0,0,0,0
1.598,-24.318,0,0,0,1,0,0,0,0,0
1.601,-24.638,0,0,0,1,0,0,0,0,0
1.603,-23.633,0,0,1,0,0,0,0,0,0
1.606,-24.897,0,0,0,1,0,0,0,0,0
1.616,-25.142,0,0,0,0,1,0,0,0,0
1.618,-23.961,0,0,1,0,0,0,0,0,0
1.632,-84.839,0,0,0,1,0,0,0,0,0
1.635,-25.363,0,0,0,0,0,0,0,0,0
1.636,-66.133,0,0,0,0,0,0,0,0,0
1.641,-66.667,0,0,1,0,0,0,0,0,0
1.653,-25.118,0,0,0,0,1,0,0,0,0
1.661,-85.035,0,0,0,0,0,0,0,0,0
1.662,-25.216,0,0,0,0,0,0,0,0,0
1.681,-25.08,0,0,0,0,0,0,0,0,0
1.709,-24.527,0,0,0,1,0,0,0,0,0
1.718,-25.116,0,0,0,0,0,0,0,0,0
1.719,-25.171,0,0,0,1,0,0,0,0,0
1.729,-24.16,0,0,0,1,0,0,0,0,0
1.754,-66.308,0,0,0,0,0,0,0,0,0
1.759,-24.728,0,0,0,0,0,0,0,0,0
1.775,-65.945,0,0,0,0,0,0,0,0,0
1.785,-23.744,0,0,0,1,0,0,0,0,0
1.789,-24.372,0,0,0,1,0,0,0,0,0
1.789,-85.847,0,0,0,0,0,0,0,0,0
1.791,-65.965,0,0,0,1,0,0,0,0,1
1.791,-66.379,0,0,0,0,0,0,0,0,0
1.795,-25.216,0,0,0,0,0,0,0,0,0
1.826,-25.26,0,0,0,0,0,0,0,0,0
1.832,-24.78,0,0,0,1,0,0,0,0,0
1.837,-24.804,0,0,0,1,0,0,0,0,0
1.845,-24.848,0,0,0,0,0,0,0,0,0
1.849,-24.317,0,0,0,1,0,0,0,0,0
1.854,-66.647,0,0,0,1,0,0,0,0,0
1.867,-24.864,0,0,0,1,0,0,0,0,0
1.887,-24.777,0,0,0,1,0,0,0,0,0
1.915,-25.148,0,0,0,0,0,0,0,0,0
1.932,-66.932,0,0,0,1,0,0,0,0,0
1.934,-66.555,0,0,0,1,0,0,0,0,0
1.938,-66.289,0,0,0,0,1,0,0,0,0
1.939,-24.865,0,0,0,1,0,0,0,0,0
1.944,-65.163,0,0,0,0,1,0,0,0,0
1.946,-24.669,0,0,0,0,0,0,0,0,0
1.948,-25.364,0,0,0,0,0,0,0,0,0
1.983,-66.519,0,0,0,1,0,0,0,0,0
10.009,-9.18,0,0,0,0,0,0,0,0,0
10.016,-21.463,0,0,0,0,0,0,0,0,0
10.028,-9.522,0,0,0,1,0,0,0,0,0
10.036,-9.286,0,0,0,0,0,0,0,0,0
10.036,-9.715,0,0,0,1,0,0,0,0,0
10.042,-9.189,0,0,0,0,0,0,0,0,0
10.051,-20.19,0,0,0,0,0,0,0,0,0
10.08,-21.53,0,0,1,0,0,0,0,0,0
10.084,-9.952,0,0,0,1,0,0,0,0,0
10.102,-9.258,0,0,0,0,0,0,0,0,0
10.111,-21.018,0,0,1,0,0,0,0,0,0
10.116,-9.988,0,0,0,0,0,0,0,0,0
10.122,-20.112,0,0,0,0,0,1,0,0,0
10.124,-20.157,0,0,1,0,0,0,0,0,0
10.125,-20.787,0,0,0,0,0,0,0,0,0
10.127,-20.753,0,0,0,0,0,0,0,0,0
10.127,-9.68,0,0,0,0,0,0,0,0,0
10.128,-10.022,0,0,0,0,0,0,0,0,0
10.128,-9.67,0,0,0,0,1,0,0,0,0
10.139,-19.941,0,0,0,1,0,0,0,0,0
10.15,-8.838,0,0,0,0,0,0,0,0,0
10.164,-9.474,0,0,0,0,0,0,0,0,0
10.176,-8.948,0,0,0,0,0,0,0,0,0
10.192,-20.711,0,0,0,0,0,0,0,0,0
10.192,-9.693,0,0,0,1,0,0,0,0,0
10.193,-8.716,0,0,0,1,0,0,0,0,0
10.194,-9.233,0,0,0,1,0,0,0,0,0
10.197,-9.211,0,0,0,0,0,0,0,0,0
10.201,-20.728,0,0,0,0,0,0,0,0,0
10.204,-9.81,0,0,0,1,0,0,0,0,0
10.211,-20.753,0,0,0,0,0,0,0,0,0
10.216,-8.905,0,0,0,1,0,0,0,0,0
10.227,-20.542,0,0,1,0,0,0,0,0,0
10.227,-9.02,0,0,0,1,0,0,0,0,0
10.236,-20.709,0,0,0,0,0,0,0,0,0
10.237,-9.237,0,0,0,1,0,0,0,0,0
10.241,-9.087,0,0,0,0,0,0,0,0,0
10.246,-9.621,0,0,0,1,0,0,0,0,0
10.248,-9.734,0,0,0,0,0,0,0,0,0
10.248,-9.989,0,0,0,1,0,0,0,0,0
10.259,-9.209,0,0,0,0,0,0,0,0,0
10.26,-20.29,0,0,0,1,0,0,0,0,0
10.267,-9.054,0,0,0,0,0,0,0,0,0
10.274,-9.408,0,0,0,0,0,0,0,0,0
10.277,-9.296,0,0,0,1,0,0,0,0,0
10.29,-20.593,0,0,0,0,0,0,0,0,0
10.303,-21.523,0,0,0,0,0,0,0,0,0
10.305,-21.085,0,0,0,0,0,0,0,0,0
10.317,-20.518,0,0,0,0,0,0,0,0,0
10.332,-20.556,0,0,0,0,0,0,0,0,0
10.332,-9.391,0,0,0,1,0,0,0,0,0
10.339,-9.055,0,0,0,0,0,0,0,0,0
10.35,-20.97,0,0,0,0,1,0,0,0,0
10.365,-9.704,0,0,0,1,0,0,0,0,0
10.367,-8.844,0,0,0,1,0,0,0,0,0
10.371,-9.375,0,1,0,0,0,0,0,0,0
10.373,-20.211,0,0,0,0,0,0,0,0,0
10.377,-9.263,0,0,0,0,0,0,0,0,0
10.387,-9.466,0,0,0,0,0,0,0,0,0
10.39,-20.332,0,0,0,0,0,0,0,0,0
10.392,-9.92,0,0,0,1,0,0,0,0,0
10.393,-8.268,0,0,0,0,0,0,0,0,0
10.398,-9.655,0,0,0,0,0,0,0,0,0
10.406,-9.361,0,0,0,1,0,0,0,0,0
10.419,-9.375,0,0,0,0,0,0,0,0,0
10.43,-9.117,0,0,1,0,0,0,0,0,0
10.431,-9.659,0,0,0,0,0,0,0,0,0
10.437,-9.444,0,0,0,0,0,0,0,0,0
10.438,-9.464,0,0,0,0,0,0,0,0,0
10.44,-20.459,0,0,0,0,0,0,0,0,0
10.449,-9.117,0,0,1,0,0,0,0,0,0
10.45,-9.278,0,0,0,0,0,0,0,0,0
10.451,-9.346,0,0,0,0,0,0,0,0,0
10.452,-8.77,0,0,0,1,0,0,0,0,0
10.455,-9.605,0,0,1,0,0,0,0,0,0
10.46,-9.304,0,0,0,1,0,0,0,0,0
10.461,-20.082,0,0,0,0,0,0,0,0,0
10.462,-20.697,0,0,0,1,0,0,0,0,0
10.462,-8.85,0,0,0,1,0,0,0,0,0
10.462,-9.167,0,0,0,1,0,0,0,0,0
10.465,-19.953,0,0,0,0,0,0,0,0,0
10.467,-9.43,0,0,0,0,0,0,0,0,0
10.468,-9.262,0,0,0,0,0,0,0,0,0
10.473,-9.492,0,0,0,1,0,0,0,0,0
10.475,-9.5,0,0,0,0,0,0,0,0,0
10.479,-20.741,0,0,0,0,0,0,0,0,0
10.49,-19.843,0,0,0,1,0,0,0,0,0
10.493,-9.282,0,0,0,0,0,0,0,0,0
10.498,-9.641,0,0,0,1,0,0,0,0,0
10.499,-20.829,0,0,0,1,0,0,0,0,0
10.507,-9.296,0,0,0,1,0,0,0,0,0
10.513,-8.626,0,0,0,0,0,0,0,0,0
10.523,-9.475,0,0,0,1,0,0,0,0,0
10.525,-9.561,0,0,0,1,0,0,0,0,0
10.528,-20.38,0,0,1,0,0,0,0,0,0
10.53,-9.607,0,0,0,0,0,0,0,0,0
10.534,-20.978,0,0,0,1,0,0,0,0,0
10.535,-8.827,0,0,0,0,0,0,0,0,0
10.536,-19.879,0,0,0,0,1,0,0,0,0
10.538,-8.851,0,0,0,0,0,0,0,0,0
10.538,-9.161,0,0,0,0,0,0,0,0,0
10.538,-9.673,0,0,0,0,0,0,0,0,0
10.539,-19.704,0,0,0,0,0,0,0,0,0
10.54,-21.596,0,0,1,0,0,0,0,0,0
10.545,-10.091,0,0,0,0,0,0,0,0,0
10.548,-21.35,0,0,1,0,0,0,0,0,0
10.56,-9.546,0,0,0,0,0,0,0,0,0
10.562,-9.46,0,0,0,0,0,0,0,0,0
10.574,-19.765,0,0,1,0,0,0,0,0,0
10.576,-10.066,0,0,0,0,1,0,0,0,0
10.584,-9.59,0,0,0,0,0,0,0,0,0
10.591,-20.619,0,0,0,1,0,0,0,0,0
10.592,-20.809,0,0,0,0,0,0,0,0,0
10.592,-9.488,0,0,0,1,0,0,0,0,0
10.598,-8.725,0,0,0,1,0,0,0,0,0
10.607,-8.964,0,0,0,0,0,0,0,0,0
10.608,-8.475,0,0,0,1,0,0,0,0,0
10.615,-9.816,0,0,0,0,0,0,0,0,0
10.62,-20.598,0,0,0,1,0,0,0,0,0
10.624,-9.945,0,0,0,0,1,0,0,0,0
10.626,-9.359,0,0,0,0,0,0,0,0,0
10.628,-20.194,0,0,0,1,0,0,0,0,0
10.628,-20.79,0,0,0,1,0,0,0,0,0
10.631,-20.583,0,0,0,0,0,0,0,0,0
10.631,-20.673,0,0,0,1,0,0,0,0,0
10.634,-8.263,0,0,0,1,0,0,0,0,0
10.634,-8.339,0,0,0,1,0,0,0,0,0
10.636,-20.748,0,0,0,0,0,0,0,0,0
10.638,-21.112,0,0,0,1,0,0,0,0,0
10.641,-9.908,0,0,0,0,0,0,0,0,0
10.642,-8.726,0,0,0,0,0,0,0,0,0
10.642,-9.722,0,0,0,1,0,0,0,0,0
10.65,-9.853,0,0,0,0,0,0,0,0,0
10.655,-9.92,0,0,0,0,0,0,0,0,0
10.656,-20.639,0,0,0,0,0,0,0,0,0
10.66,-20.78,0,0,0,0,0,0,0,0,0
10.66,-9.832,0,0,0,1,0,0,0,0,0
10.661,-8.932,0,0,0,1,0,0,0,0,0
10.67,-9.515,0,0,0,0,0,0,0,0,0
10.671,-20.016,0,0,0,0,0,0,0,0,0
10.671,-20.795,0,0,0,0,0,0,0,0,0
10.674,-21.233,0,1,0,0,0,0,0,0,0
10.677,-20.378,0,0,1,0,0,0,0,0,0
10.677,-20.578,0,0,0,0,0,0,0,0,0
10.682,-21.011,0,0,0,1,0,0,0,0,0
10.685,-10.055,0,0,0,0,0,0,0,0,0
10.691,-9.431,0,0,0,1,0,0,0,0,0
10.693,-10.051,0,0,0,0,0,0,0,0,0
10.708,-20.286,0,0,0,1,0,0,0,0,0
10.719,-9.552,0,0,0,0,0,0,0,0,0
10.72,-9.607,0,0,0,0,0,0,0,0,0
10.729,-9.956,0,0,0,0,0,0,0,0,0
10.741,-20.904,0,0,0,0,0,0,0,0,0
10.744,-20.58,0,0,0,0,0,0,0,0,0
10.745,-9.23,0,0,0,0,0,0,0,0,0
10.748,-9.529,0,0,0,0,0,0,0,0,0
10.755,-9.447,0,0,0,1,0,0,0,0,0
10.761,-20.747,0,0,0,0,0,0,0,0,0
10.761,-9.364,0,0,1,0,0,0,0,0,0
10.763,-20.621,0,0,0,0,0,0,0,0,0
10.779,-20.254,0,0,0,0,0,0,0,0,0
10.787,-20.612,0,0,0,1,0,0,0,0,0
10.798,-20.533,0,1,0,0,0,0,0,0,0
10.808,-20.572,0,0,0,0,0,0,0,0,0
10.814,-20.547,0,0,0,0,0,0,0,0,0
10.818,-8.952,0,0,0,0,0,0,0,0,1
10.833,-20.668,0,0,0,0,0,0,0,0,0
10.838,-9.297,0,0,0,0,0,0,0,0,0
10.84,-9.593,0,0,0,1,0,0,0,0,0
10.848,-20.32,0,0,0,0,0,0,0,0,0
10.853,-20.628,0,0,0,1,0,0,0,0,0
10.86,-10.332,0,0,1,0,0,0,0,0,0
10.86,-20.596,0,0,0,1,0,0,0,0,0
10.867,-8.964,0,0,0,0,0,0,0,0,0
10.872,-10.177,0,0,0,0,1,0,0,0,0
10.872,-20.326,0,0,0,0,0,0,0,0,0
10.877,-8.954,0,0,0,0,1,0,0,0,0
10.88,-20.283,0,0,0,0,1,0,0,0,0
10.882,-10.162,0,0,1,0,0,0,0,0,0
10.883,-20.6,0,0,0,0,1,0,0,0,0
10.887,-21.045,0,0,0,0,0,0,0,0,0
10.896,-8.61,0,0,0,0,0,0,0,0,0
10.902,-19.619,0,0,0,1,0,0,0,0,0
10.902,-20.701,0,1,0,0,0,0,0,0,0
10.907,-9.151,0,0,0,0,0,0,0,0,0
10.916,-21.21,0,0,0,0,0,0,0,0,0
10.918,-10.218,0,0,0,0,0,0,0,0,0
10.925,-10.358,0,0,1,0,0,0,0,0,0
10.941,-20.499,0,0,0,0,1,0,0,0,0
10.954,-20.33,0,0,0,0,0,0,0,0,0
10.957,-21.312,0,0,0,0,0,0,0,0,0
10.971,-20.458,0,0,0,1,0,0,0,0,0
10.971,-9.244,0,0,0,1,0,0,0,0,0
10.972,-19.59,0,0,0,1,0,0,0,0,0
10.98,-20.279,0,0,0,0,0,0,0,0,0
10.981,-20.416,0,0,0,1,0,0,0,0,0
10.982,-9.252,0,0,0,0,0,0,0,0,0
10.988,-20.617,0,0,0,1,0,0,0,0,0
10.993,-9.372,0,0,0,0,0,0,0,0,0
100.001,-54.222,0,0,0,0,0,0,0,0,0
100.013,-54.305,0,0,0,0,0,0,0,0,0
100.023,-54.1,0,0,0,1,0,0,0,0,0
100.031,-47.924,0,0,0,1,0,0,0,0,0
100.041,-54.872,0,0,0,0,0,0,0,0,0
100.049,-48.515,0,0,0,0,0,0,0,0,0
100.051,-48.324,0,0,0,0,0,0,0,0,0
100.051,-48.661,0,0,0,1,0,0,0,0,0
100.056,-47.694,0,0,0,0,0,0,0,0,0
100.094,-53.969,0,0,0,1,0,0,0,0,0
100.096,-49.299,0,0,0,0,1,0,0,0,0
100.101,-48.312,0,0,0,0,0,0,0,0,0
100.102,-47.787,0,0,0,1,0,0,0,0,0
100.107,-54.144,0,0,0,1,0,0,0,0,0
100.108,-48.364,0,0,0,0,0,0,0,0,0
100.118,-48.487,0,0,0,1,0,0,0,0,0
100.139,-47.825,0,0,0,1,0,0,0,0,0
100.156,-48.508,0,0,0,1,0,0,0,0,0
100.156,-53.807,0,0,0,1,0,0,0,0,0
100.164,-53.734,0,0,0,1,0,0,0,0,0
100.181,-54.034,0,0,0,1,0,0,0,0,0
100.189,-48.711,0,0,0,0,0,0,0,0,0
100.197,-48.431,0,0,0,1,0,0,0,0,0
100.231,-48.487,0,0,0,0,0,0,0,0,0
100.232,-48.23,0,0,0,0,0,0,0,0,0
100.294,-48.23,0,0,0,0,1,0,0,0,0
100.318,-47.984,0,0,0,0,0,0,0,0,0
100.318,-54.924,0,0,0,0,0,0,0,0,0
100.319,-54.133,0,0,0,1,0,0,0,0,0
100.325,-53.938,0,0,0,1,0,0,0,0,0
100.33,-54.658,0,0,1,0,0,0,0,0,0
100.355,-53.417,0,0,0,0,0,0,0,0,0
100.362,-54.245,0,0,0,0,0,1,0,0,0
100.373,-48.635,0,0,0,1,0,0,0,0,0
100.375,-53.592,0,0,0,1,0,0,0,0,0
100.375,-53.861,0,0,0,0,0,0,0,0,0
100.407,-54.62,0,0,0,0,1,0,0,0,0
100.41,-54.306,0,0,0,0,0,0,0,0,0
100.418,-54.232,0,0,0,0,0,0,0,0,0
100.423,-54.156,0,0,0,0,0,0,0,0,0
100.441,-53.984,0,0,1,0,0,0,0,0,0
100.454,-54.42,0,0,0,1,0,0,0,0,0
100.455,-48.475,0,0,0,0,0,0,0,0,0
100.466,-53.382,0,0,0,1,0,0,0,0,0
100.489,-53.83,0,0,0,0,0,0,0,0,0
100.492,-55.05,0,0,0,0,0,0,0,0,0
100.497,-54.169,0,0,0,0,0,0,0,0,0
100.504,-53.29,0,0,0,0,0,0,0,0,0
100.513,-54.03,0,0,0,0,0,0,0,0,0
100.514,-48.699,0,0,0,0,0,0,0,0,0
100.516,-54.656,0,0,0,1,0,0,0,0,0
100.528,-49.465,0,0,0,0,0,0,0,0,0
100.528,-54.071,0,0,0,0,1,0,0,0,0
100.533,-53.414,0,0,0,1,0,0,0,0,0
100.536,-48.587,0,0,0,1,0,0,0,0,0
100.537,-54.803,0,0,0,0,0,0,0,0,0
100.543,-54.627,0,0,0,0,1,0,0,0,0
100.546,-49.225,0,0,0,1,0,0,0,0,0
100.565,-55.095,0,0,1,0,0,0,0,0,0
100.572,-54.256,0,0,0,0,0,0,0,0,0
100.591,-53.813,0,0,0,0,0,0,0,0,0
100.598,-54.183,0,0,0,0,0,0,0,0,0
100.619,-54.88,0,0,1,0,0,0,0,0,0
100.625,-48.0,0,0,0,0,0,0,0,0,0
100.631,-54.596,0,0,0,0,0,0,0,0,0
100.639,-54.596,0,0,0,0,0,1,0,0,0
100.641,-48.817,0,0,0,0,0,0,0,0,0
100.669,-54.21,0,0,0,1,0,0,0,0,0
100.681,-54.12,0,0,0,0,0,0,0,0,0
100.707,-54.262,0,0,0,0,0,0,0,0,0
100.709,-54.127,0,0,0,0,0,0,0,0,0
100.713,-54.779,0,0,0,0,0,0,0,0,0
100.779,-53.168,0,0,0,0,0,0,0,0,0
100.802,-47.736,0,0,0,0,0,0,0,0,0
100.83,-54.103,0,0,0,1,0,0,0,0,0
100.9,-54.21,0,0,0,0,0,0,0,0,0
100.931,-54.582,0,0,0,0,0,0,0,0,0
100.944,-54.161,0,0,0,0,0,0,0,0,0
100.947,-54.145,0,0,1,0,0,0,0,0,0
100.953,-53.842,0,0,1,0,0,0,0,0,0
100.961,-54.178,0,0,0,1,0,0,0,0,0
101.011,-53.833,0,0,0,0,0,0,0,0,0
101.026,-54.72,0,0,0,0,0,0,0,0,0
101.045,-54.022,0,0,0,0,0,0,0,0,0
101.086,-53.804,0,0,0,0,0,0,0,0,0
101.108,-53.781,0,0,0,0,0,0,0,0,0
101.127,-53.86,0,0,0,1,0,0,0,0,0
101.145,-54.167,0,0,0,0,0,0,0,0,0
101.193,-54.316,0,0,0,0,0,0,0,0,0
101.202,-54.002,0,0,0,1,0,0,0,0,0
101.218,-54.186,0,0,0,0,0,0,0,0,0
101.221,-54.466,0,0,1,0,0,0,0,0,0
101.236,-54.224,0,0,0,0,0,0,0,0,0
101.242,-54.293,0,0,0,0,0,0,0,0,0
101.253,-54.013,0,0,0,1,0,0,0,0,0
101.269,-54.312,0,0,0,0,0,0,0,0,0
101.273,-54.807,0,0,0,0,0,0,0,0,0
101.285,-54.784,0,0,0,0,0,0,0,0,0
101.296,-54.254,0,0,0,0,0,0,0,0,0
101.301,-54.594,0,0,0,0,0,0,0,0,0
101.312,-54.051,0,0,0,1,0,0,0,0,0
101.316,-54.224,0,0,0,0,0,0,0,0,0
101.317,-54.268,0,0,0,0,0,0,0,0,0
101.319,-54.025,0,0,0,1,0,0,0,0,0
101.334,-54.015,0,0,0,1,0,0,0,0,0
101.354,-54.794,0,0,0,0,0,0,0,0,0
101.359,-54.763,0,0,0,1,0,0,0,0,0
101.362,-54.248,0,0,0,0,0,0,0,0,0
101.368,-54.227,0,0,0,0,0,0,0,0,1
101.391,-53.899,0,0,0,0,0,0,0,0,0
101.397,-54.191,0,0,0,0,0,0,0,0,0
101.402,-54.691,0,0,0,0,0,0,0,0,0
101.405,-54.241,0,0,0,0,0,0,0,0,0
101.406,-54.23,0,0,0,1,0,0,0,0,0
101.423,-54.181,0,0,0,1,0,0,0,0,0
101.423,-54.194,0,0,0,1,0,0,0,0,0
101.433,-54.638,0,0,0,0,0,0,0,0,0
101.438,-54.226,0,0,0,0,0,0,0,0,0
101.444,-54.108,0,0,0,1,0,0,0,0,0
101.446,-54.251,0,0,0,0,0,0,0,0,0
101.465,-54.084,0,0,0,0,0,0,0,0,0
101.471,-54.497,0,0,0,1,0,0,0,0,0
101.481,-54.619,0,0,0,0,0,0,0,0,0
101.494,-53.452,0,0,0,0,0,0,0,0,0
101.5,-54.144,0,0,0,1,0,0,0,0,0
101.511,-54.38,0,0,0,1,0,0,0,0,0
101.518,-54.196,0,0,0,0,0,0,0,0,0
101.518,-54.414,0,0,0,1,0,0,0,0,0
101.545,-53.57,0,0,0,0,0,0,0,0,0
101.548,-55.102,0,0,0,1,0,0,0,0,0
101.551,-53.402,0,0,0,0,0,0,0,0,0
101.62,-54.855,0,0,1,0,0,0,0,0,0
101.632,-53.861,0,0,0,0,0,0,0,0,0
101.638,-54.396,0,0,0,0,0,0,0,0,0
101.719,-54.808,0,0,0,0,0,0,0,0,0
101.755,-54.196,0,0,0,1,0,0,0,0,0
101.776,-54.526,0,0,0,1,0,0,0,0,0
101.789,-53.517,0,0,1,0,0,0,0,0,0
101.795,-54.319,0,0,0,1,0,0,0,0,0
101.796,-54.727,0,0,0,1,0,0,0,0,0
101.814,-54.868,0,0,0,0,0,0,0,0,0
101.852,-53.689,0,1,0,0,0,0,0,0,0
101.856,-54.267,0,0,0,0,0,0,0,0,0
101.904,-54.734,0,0,0,0,0,0,0,0,0
101.925,-53.615,0,0,0,0,0,0,0,0,0
101.941,-53.535,0,0,0,0,0,0,0,0,0
101.983,-53.631,0,0,0,0,0,0,0,0,0
101.987,-53.535,0,0,0,0,0,0,0,0,0
101.987,-54.53,0,0,0,0,0,0,0,0,0
102.019,-53.987,0,0,0,0,0,0,0,0,0
102.021,-54.125,0,0,0,0,0,0,0,0,0
102.058,-54.841,0,0,1,0,0,0,0,0,0
102.061,-54.16,0,0,0,0,0,0,0,0,0
102.066,-54.437,0,0,0,0,0,0,0,0,0
102.093,-54.085,0,0,0,1,0,0,0,0,0
102.134,-54.76,0,0,0,0,0,0,0,0,0
102.135,-54.182,0,0,0,0,0,0,0,0,0
102.16,-54.159,0,0,1,0,0,0,0,0,0
102.183,-53.541,0,0,0,0,0,0,0,0,0
102.196,-53.448,0,0,0,1,0,0,0,0,0
102.205,-54.093,0,0,0,1,0,0,0,0,0
102.257,-54.247,0,0,0,0,0,0,0,0,0
102.32,-54.943,0,0,0,0,0,0,0,0,0
102.372,-54.192,0,0,0,0,0,0,0,0,0
102.447,-55.014,0,0,0,0,0,0,0,0,0
102.472,-53.925,0,0,1,0,0,0,0,0,0
102.499,-54.718,0,0,0,0,0,0,0,0,0
102.518,-54.121,0,0,0,0,0,0,0,0,0
102.532,-54.571,0,0,0,1,0,0,0,0,0
102.56,-54.298,0,1,0,0,0,0,0,0,0
102.575,-54.163,0,0,0,0,1,0,0,0,0
102.582,-54.037,0,0,0,0,0,0,0,0,0
102.583,-53.988,0,0,0,0,0,0,0,0,0
102.596,-54.395,0,0,0,1,0,0,0,0,0
102.717,-54.615,0,0,1,0,0,0,0,0,0
102.775,-54.259,0,0,0,1,0,0,0,0,0
102.799,-55.067,0,0,0,1,0,0,0,0,0
102.874,-53.723,0,0,0,0,0,1,0,0,0
102.925,-55.144,0,0,0,0,0,0,0,0,0
102.941,-54.11,0,0,0,0,0,0,0,0,0
102.946,-54.017,0,0,0,1,0,0,0,0,0
102.963,-55.811,0,0,0,0,0,0,0,0,0
102.976,-54.099,0,0,0,0,0,0,0,0,0
